collected_date,collected_at,category,category_name,product_code,product_name,price,price_text,product_url
2026-05-18,2026-05-18T15:52:11+09:00,monitor,모니터,99893291,삼성전자 오디세이 G5 G50F LS27FG500,268640,"268,640원",https://prod.danawa.com/info/?pcode=99893291&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,101013083,MSI MAG Codex Z2 A7NVV R7-9800X3D RTX 5080 게이밍,4099680,"4,099,680원",https://prod.danawa.com/info/?pcode=101013083&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,102123782,GEEKOM A8 MAX 8745HS Win11Pro,1291500,"1,291,500원",https://prod.danawa.com/info/?pcode=102123782&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,103182320,MSI MAG Codex Z2 A5NVN 에센셜 A02-E R5-7500F RTX 5060 Ti 게이밍,1899000,"1,899,000원",https://prod.danawa.com/info/?pcode=103182320&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,104043896,GEEKOM A6 R7-6800U Win11Pro,857600,"857,600원",https://prod.danawa.com/info/?pcode=104043896&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,104939888,다나와 게임용PC AMD R5-7400F RTX5060 S6101,1840000,"1,840,000원",https://prod.danawa.com/info/?pcode=104939888&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,104947211,다나와 게임용PC 인텔 i5-14400F RTX5060 S6102,2050000,"2,050,000원",https://prod.danawa.com/info/?pcode=104947211&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,104988596,영웅컴퓨터 영웅 게이밍울트라 7857T 7800X3D RTX5070Ti,2978800,"2,978,800원",https://prod.danawa.com/info/?pcode=104988596&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,104989550,GEEKOM A7 MAX 7940HS Win11Pro,1190000,"1,190,000원",https://prod.danawa.com/info/?pcode=104989550&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,108226358,MSI MAG Codex Z2 A5NVL A01 R5-5600 RTX 5060 Win11Home 게이밍,1368780,"1,368,780원",https://prod.danawa.com/info/?pcode=108226358&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,122634949,MSI MAG Codex Z2 A9NVR A15 R7-9800X3D RTX 5070 Ti 게이밍,3299790,"3,299,790원",https://prod.danawa.com/info/?pcode=122634949&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,13546484,영웅컴퓨터 영웅 875 게이밍울트라560X R5 5600 RTX5060,1199700,"1,199,700원",https://prod.danawa.com/info/?pcode=13546484&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,18711575,영웅컴퓨터 영웅 RL3461F i5-13400F RTX5060Ti,1429730,"1,429,730원",https://prod.danawa.com/info/?pcode=18711575&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,19534361,포유컴퓨터 퍼포먼스PC 30 R7 7800X3D RTX5070,2140540,"2,140,540원",https://prod.danawa.com/info/?pcode=19534361&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,20779784,포유컴퓨터 퍼포먼스PC 37 R5 5600 RTX5060,1090660,"1,090,660원",https://prod.danawa.com/info/?pcode=20779784&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,21515228,포유컴퓨터 퍼포먼스PC 42 울트라 코어5 225,854460,"854,460원",https://prod.danawa.com/info/?pcode=21515228&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,26558177,포유컴퓨터 퍼포먼스PC 47 R5 7500F RTX5060Ti,1355440,"1,355,440원",https://prod.danawa.com/info/?pcode=26558177&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,28805123,피씨스토어 베스트 게이밍PC 울트라5 250K PLUS RTX 5060,1828640,"1,828,640원",https://prod.danawa.com/info/?pcode=28805123&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,29402825,피씨스토어 베스트 게이밍 7500F RTX5060 700W,1465440,"1,465,440원",https://prod.danawa.com/info/?pcode=29402825&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,45314390,영웅컴퓨터 영웅 게이밍울트라 7546GT R5 7500F RTX5060Ti,1379900,"1,379,900원",https://prod.danawa.com/info/?pcode=45314390&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,45997478,포유컴퓨터 퍼포먼스PC 41 5500GT,558470,"558,470원",https://prod.danawa.com/info/?pcode=45997478&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,62160278,마이피씨샵 DIY 게이밍 마스터 7500F RTX5060,1285920,"1,285,920원",https://prod.danawa.com/info/?pcode=62160278&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,70152545,APPLE 맥미니 M4 MU9D3KH/A,984400,"984,400원",https://prod.danawa.com/info/?pcode=70152545&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,70152575,APPLE 맥미니 M4 MU9E3KH/A,1188640,"1,188,640원",https://prod.danawa.com/info/?pcode=70152575&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,74999351,영웅컴퓨터 영웅 울트라게이밍 9800TS R7 9800X3D RTX5070Ti,3308880,"3,308,880원",https://prod.danawa.com/info/?pcode=74999351&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,78981251,다나와표준PC 홈/오피스용 250401,592560,"592,560원",https://prod.danawa.com/info/?pcode=78981251&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,80164475,영웅컴퓨터 영웅 게이밍울트라 7857 R7 7800X3D RTX5070,2349680,"2,349,680원",https://prod.danawa.com/info/?pcode=80164475&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,93386711,다나와표준PC 게임용 250719,2666240,"2,666,240원",https://prod.danawa.com/info/?pcode=93386711&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,94084862,모맨 겜덕피시 사무용 5600GT 어항,799000,"799,000원",https://prod.danawa.com/info/?pcode=94084862&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,95055290,다나와표준PC 게임용 250810,1622880,"1,622,880원",https://prod.danawa.com/info/?pcode=95055290&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,desktop,데스크탑,97905320,STCOM STCP-i9,2882000,"2,882,000원",https://prod.danawa.com/info/?pcode=97905320&cate=112756
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,100268336,로지텍 시그니처 슬림 솔라+ K980 무선,145000,"145,000원",https://prod.danawa.com/info/?pcode=100268336&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,103690760,앱코 ACH105 오피스워커 유무선 기계식 앨리스블루,77520,"77,520원",https://prod.danawa.com/info/?pcode=103690760&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,104947577,CORSAIR 갤리온 100 SD 스트림덱 LCD 기계식,491870,"491,870원",https://prod.danawa.com/info/?pcode=104947577&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,106222247,AULA S102Pro 유무선,29800,"29,800원",https://prod.danawa.com/info/?pcode=106222247&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,108423050,AULA F108 기계식 라이트 그레이,59000,"59,000원",https://prod.danawa.com/info/?pcode=108423050&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,122618737,프리플로우 archon M1 PRO 2 MAX,109000,"109,000원",https://prod.danawa.com/info/?pcode=122618737&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,122626172,프리플로우 archon M1 PRO 2 TKL,99000,"99,000원",https://prod.danawa.com/info/?pcode=122626172&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,12552761,로지텍 MK295 SILENT (정품),31920,"31,920원",https://prod.danawa.com/info/?pcode=12552761&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,13363190,앱코 K560 축교환 레인보우 무빙 LED 기계식 블랙,24300,"24,300원",https://prod.danawa.com/info/?pcode=13363190&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,17171387,로지텍 MX Mechanical (정품),178960,"178,960원",https://prod.danawa.com/info/?pcode=17171387&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,17763857,로지텍 시그니처 MK650 (정품),83610,"83,610원",https://prod.danawa.com/info/?pcode=17763857&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,18878243,앱코 K517 레트로 기계식,22320,"22,320원",https://prod.danawa.com/info/?pcode=18878243&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,20437697,로지텍 MX Keys S (정품),112240,"112,240원",https://prod.danawa.com/info/?pcode=20437697&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,32862488,darkFlash CK104 무선 기계식 키보드 마우스 세트 블랙,33540,"33,540원",https://prod.danawa.com/info/?pcode=32862488&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,36708812,앱코 K561 교체축 유무선 블루투스 기계식 블랙,29900,"29,900원",https://prod.danawa.com/info/?pcode=36708812&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,3798967,로지텍 MK235 (정품),18300,"18,300원",https://prod.danawa.com/info/?pcode=3798967&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,45316991,로지텍 Wave Keys + LIFT VERTICAL Combo 무선 키보드 마우스 세트,139910,"139,910원",https://prod.danawa.com/info/?pcode=45316991&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,49998404,로지텍 시그니처 슬림 MK950 키보드 마우스 세트 (정품),109000,"109,000원",https://prod.danawa.com/info/?pcode=49998404&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,61437527,AULA F87 Pro 유무선 기계식 인디고 블랙 한글,49600,"49,600원",https://prod.danawa.com/info/?pcode=61437527&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,62164382,로지텍 KEYS-TO-GO 2 (정품),79200,"79,200원",https://prod.danawa.com/info/?pcode=62164382&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,63466976,AULA F87 Pro 기계식 다크 올리비아 한글,34240,"34,240원",https://prod.danawa.com/info/?pcode=63466976&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,70003601,AULA F108 유무선 기계식 스카이 블랙 한글,65600,"65,600원",https://prod.danawa.com/info/?pcode=70003601&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,72752519,한성컴퓨터 GK698 OfficeMaster 유무선,29620,"29,620원",https://prod.danawa.com/info/?pcode=72752519&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,73889735,삼성전자 SP-M1800Q 무선 키보드 마우스 세트,59290,"59,290원",https://prod.danawa.com/info/?pcode=73889735&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,91118852,COX CKM40W 저소음 무선 키보드 마우스 세트,15280,"15,280원",https://prod.danawa.com/info/?pcode=91118852&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,94026440,AULA F108 PRO 유무선 기계식 오로라 블랙 한글,71200,"71,200원",https://prod.danawa.com/info/?pcode=94026440&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,94026476,AULA F108 PRO 유무선 기계식 치즈 화이트 한글,71200,"71,200원",https://prod.danawa.com/info/?pcode=94026476&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,94205129,로지텍 MK250 무선 키보드 마우스 세트,27890,"27,890원",https://prod.danawa.com/info/?pcode=94205129&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,97122377,FL-ESPORTS NX108 유무선 기계식 크림 말차,77000,"77,000원",https://prod.danawa.com/info/?pcode=97122377&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,keyboard,키보드,98244965,CORSAIR 뱅가드 PRO 96 게이밍,229200,"229,200원",https://prod.danawa.com/info/?pcode=98244965&cate=112782
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,100622369,알파스캔 AOC Q27G40E 게이밍 180 QHD FAST IPS 프리싱크 AI HDR 무결점,228990,"228,990원",https://prod.danawa.com/info/?pcode=100622369&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,101011958,크로스오버 279QA9200 Fast-iPS 200 WQHD Ai게이밍 무결점,197470,"197,470원",https://prod.danawa.com/info/?pcode=101011958&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,103055438,삼성전자 오디세이 G5 G51F LS32FG510,316000,"316,000원",https://prod.danawa.com/info/?pcode=103055438&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,103335689,크로스오버 279FG9 iPS-HDR 패스트144 게이밍 무결점,122850,"122,850원",https://prod.danawa.com/info/?pcode=103335689&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,106763147,알파스캔 AOC 27E40L 게이밍 144 IPS 원형편광 시력보호 AI HDR 무결점,175740,"175,740원",https://prod.danawa.com/info/?pcode=106763147&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,106763531,알파스캔 3425Q120 울트라와이드 WQHD 딥 블랙 IPS 120 USB-C HDR 높낮이 무결점,389000,"389,000원",https://prod.danawa.com/info/?pcode=106763531&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,108365849,크로스오버 27USD9 IPS UHD4K 비비드 무결점,217490,"217,490원",https://prod.danawa.com/info/?pcode=108365849&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,108402173,크로스오버 34QW290GM WQHD 게이밍 멀티스탠드 화이트 무결점,298980,"298,980원",https://prod.danawa.com/info/?pcode=108402173&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,109598759,크로스오버 27LGQ175CM 4면제로 QHD iPS TYPE-C Ai 화이트 멀티스탠드,198980,"198,980원",https://prod.danawa.com/info/?pcode=109598759&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,122620740,주연테크 V27Q15C QHD IPS USB-C AI 멀티스탠드 HDR 무결점,178880,"178,880원",https://prod.danawa.com/info/?pcode=122620740&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,122622648,알파스캔 에이건 AG326UZD 게이밍 4K UHD OLED 240 USB-C HDR 400 Ai 멀티스탠드 무결점,1160690,"1,160,690원",https://prod.danawa.com/info/?pcode=122622648&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,122646896,크로스오버 미켈란 40LGD5KPRO 나노 IPS WUHD 5K FAST-120 무결점,838890,"838,890원",https://prod.danawa.com/info/?pcode=122646896&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,28460096,MSI MAG 401QR 게이밍 UWQHD 155 HDR400 무결점,463360,"463,360원",https://prod.danawa.com/info/?pcode=28460096&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,62638133,LG전자 울트라기어 27GS85Q,376060,"376,060원",https://prod.danawa.com/info/?pcode=62638133&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,62639555,LG전자 울트라기어 32GS75Q,399750,"399,750원",https://prod.danawa.com/info/?pcode=62639555&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,72229352,BenQ GW2791 아이케어 무결점,158400,"158,400원",https://prod.danawa.com/info/?pcode=72229352&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,73883483,LG전자 울트라HD 32UN650K,357080,"357,080원",https://prod.danawa.com/info/?pcode=73883483&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,73883666,삼성전자 오디세이 G7 G70D S32DG700,616640,"616,640원",https://prod.danawa.com/info/?pcode=73883666&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,75854687,LG전자 울트라기어 27G850A,747000,"747,000원",https://prod.danawa.com/info/?pcode=75854687&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,78237926,LG전자 울트라HD 27US550,279430,"279,430원",https://prod.danawa.com/info/?pcode=78237926&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,90890663,크로스오버 27QD166CM QHD iPS USB-C 화이트 Ai 멀티스탠드,178980,"178,980원",https://prod.danawa.com/info/?pcode=90890663&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,97111373,LG전자 울트라기어 32G600A,268600,"268,600원",https://prod.danawa.com/info/?pcode=97111373&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,97118564,알파스캔 AOC U32V11 4K UHD 프리싱크 HDR 시력보호 무결점,322210,"322,210원",https://prod.danawa.com/info/?pcode=97118564&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,97118876,알파스캔 AOC U32G4 게이밍 320 듀얼 모드 4K UHD HDR 400 무결점,536850,"536,850원",https://prod.danawa.com/info/?pcode=97118876&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,98771594,ASUS ROG STRIX XG27ACMES,297450,"297,450원",https://prod.danawa.com/info/?pcode=98771594&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,99287948,알파스캔 AOC U27G4 게이밍 320 듀얼 모드 4K UHD HDR 400 무결점,419000,"419,000원",https://prod.danawa.com/info/?pcode=99287948&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,99555224,알파스캔 AOC Q27G42ZE 게이밍 260 QHD FAST IPS 프리싱크 AI HDR 무결점,278990,"278,990원",https://prod.danawa.com/info/?pcode=99555224&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,99743114,크로스오버 32UCA9 UHD4K IPS USB-C 프로아트 무결점,337500,"337,500원",https://prod.danawa.com/info/?pcode=99743114&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,99875492,삼성전자 오디세이 OLED G5 G50SF LS27FG500S,417530,"417,530원",https://prod.danawa.com/info/?pcode=99875492&cate=112757
2026-05-19,2026-05-19T09:09:16+09:00,monitor,모니터,99893291,삼성전자 오디세이 G5 G50F LS27FG500,272000,"272,000원",https://prod.danawa.com/info/?pcode=99893291&cate=112757
